price_tomans,area_sqm,year_built,num_rooms,building_total_floors,unit_floor,has_elevator,has_parking,has_storage_unit,neighborhood
8200000000,150,1389,3,5,3,1,1,1,فرهنگ
7200000000,115,1403,2,4,1,1,1,1,کلاهدوز
14000000000,200,1404,3,6,6,1,1,1,کلاهدوز
3800000000,80,1382,2,4,2,0,1,1,سناباد
4600000000,90,1401,2,4,3,1,1,1,سناباد
2700000000,90,1396,1,4,4,0,0,1,گلبرگ شمالی
12500000000,165,1404,3,5,1,1,1,1,رضاشهر
31900000000,290,1404,4,6,6,1,1,1,سجاد شهر
13000000000,160,1403,3,4,4,1,1,1,فرهنگ
13560000000,180,1404,3,5,5,1,1,1,امام رضا (ع)
13000000000,250,1404,4,5,5,1,1,1,آزادشهر
2950000000,78,1390,2,4,3,1,1,1,الهیه
4400000000,85,1388,2,0,0,1,1,1,سید رضی
16520000000,180,1404,3,6,3,1,1,1,فرهنگ
1900000000,90,1395,2,4,4,0,0,1,فدک
12700000000,165,1404,3,2,2,1,1,1,آزادشهر
11200000000,160,1403,3,6,2,1,1,1,آزادشهر
7200000000,160,1392,3,2,2,1,1,1,آزادشهر
13000000000,170,1404,3,6,2,1,1,1,آزادشهر
8400000000,163,1392,3,5,1,1,1,1,آزادشهر
8950000000,163,1397,3,6,1,1,1,1,آزادشهر
9300000000,166,1404,3,6,4,1,1,1,سید رضی
18200000000,182,1404,3,6,2,1,1,1,آزادشهر
4750000000,90,1386,2,4,0,1,1,1,آزادشهر
1720000000,95,1390,2,4,0,0,1,0,یوسفیه (شهرک غرب)
10600000000,165,1395,3,4,4,1,1,1,آزادشهر
3950000000,84,1389,2,3,1,0,0,1,زیبا شهر
3500000000,72,1390,2,4,4,1,1,0,هفت تیر (آب و برق)
3150000000,67,1396,2,4,1,1,1,1,شاهد (شهرک غرب)
5450000000,115,1404,2,3,3,1,1,1,الهیه
5000000000,100,1403,2,6,1,1,1,1,فرهنگیان (شهرک غرب)
4200000000,90,1401,2,5,2,1,1,1,حسابی جنوبی (شهرک غرب)
4260000000,120,1401,2,6,6,1,1,1,حسین‌آباد
6240000000,104,1404,2,1,1,1,1,1,سید رضی
7850000000,162,1404,3,4,4,1,1,1,تربیت (صدف)
8000000000,167,1401,3,6,3,1,1,1,آزادشهر
10200000000,167,1404,3,6,5,1,1,1,دانشجو
10400000000,157,1404,3,6,1,1,1,1,آزادشهر
9000000000,172,1404,3,6,3,1,1,1,شهید رضوی
8150000000,156,1392,3,5,4,1,1,1,سید رضی
10200000000,160,1404,3,6,3,1,1,1,دانشجو
8000000000,115,1404,2,6,3,1,1,1,دانشجو
2100000000,125,1403,2,5,5,1,1,0,توس (بلوار توس)
1300000000,75,1392,1,2,2,0,0,1,بهمن
8000000000,190,1404,3,2,2,1,1,1,الهیه
1350000000,90,1398,2,1,1,0,0,1,طبرسی شمالی
4700000000,117,1404,2,5,3,1,1,1,الهیه
1200000000,55,1404,1,6,2,1,0,1,کوی ولیعصر
8850000000,135,1400,2,5,2,1,1,1,هفت تیر (آب و برق)
3500000000,120,1404,2,6,1,1,1,1,ایثارگران
3950000000,95,1404,2,6,2,1,1,1,الهیه
1400000000,85,1401,2,4,4,0,0,0,نظام دوست
7600000000,155,1404,3,5,3,1,1,1,فرهنگیان (شهرک غرب)
11400000000,160,1403,3,6,3,1,1,1,فرهنگ
15500000000,160,1403,3,6,3,1,1,1,فرهنگ
5200000000,100,1400,2,2,2,0,1,1,همت آباد
5900000000,100,1404,2,5,3,1,1,1,خرمشهر
6200000000,100,1396,3,1,1,1,1,1,امام رضا (ع)
4350000000,100,1402,2,5,2,1,1,1,الهیه
3880000000,100,1404,2,3,3,1,1,1,امیریه
3850000000,100,1399,2,4,1,1,1,1,الهیه
1980000000,100,1404,2,3,3,1,1,1,توس (بلوار توس)
2650000000,100,1396,2,5,2,1,1,1,امیر
6000000000,100,1396,2,6,2,1,1,1,حرم مطهر رضوی
7500000000,100,1402,2,1,1,1,1,1,امام خمینی
6997000000,100,1404,2,6,4,1,1,1,آزادشهر
1900000000,100,1404,2,5,2,1,0,1,رستگار
3550000000,100,1404,2,2,2,1,1,1,حسین‌آباد
4980000000,100,1404,2,5,5,1,1,1,فرهنگیان (شهرک غرب)
4200000000,100,1398,2,1,1,1,1,1,هفت تیر (آب و برق)
