neighborhood,neighborhood_price_mean,neighborhood_apartment_count
فرهنگ,12348.83076923077,325
کلاهدوز,8598.0,71
سناباد,8340.307692307691,65
گلبرگ شمالی,3217.777777777778,18
رضاشهر,10686.618122977347,309
سجاد شهر,24703.075117370892,213
امام رضا (ع),8745.164429530201,298
آزادشهر,10249.932457786117,533
الهیه,5533.2215628091,2022
فدک,2956.153846153846,39
سید رضی,8869.465517241379,174
یوسفیه (شهرک غرب),1479.8732394366198,71
زیبا شهر,7200.433333333333,60
هفت تیر (آب و برق),6499.234741784037,213
شاهد (شهرک غرب),5259.744680851064,94
فرهنگیان (شهرک غرب),5231.754807692308,208
حسابی جنوبی (شهرک غرب),4848.177777777778,90
حسین‌آباد,4162.213235294118,136
تربیت (صدف),5339.090909090909,55
دانشجو,9436.790697674418,258
شهید رضوی,7169.4838709677415,31
توس (بلوار توس),2100.3023255813955,129
بهمن,1390.0,37
کوی ولیعصر,1670.967741935484,31
ایثارگران,1844.2083333333333,96
نظام دوست,1950.1666666666667,120
همت آباد,2155.0,6
خرمشهر,8254.266666666666,60
امیریه,4697.981366459628,161
امیر,3650.6623376623374,154
حرم مطهر رضوی,8569.692307692309,130
رستگار,3341.0945945945946,74
مشهدقلی,1528.7931034482758,29
یاس,3087.862068965517,29
کشف,1472.35,100
حجاب (شهرک غرب),2659.4285714285716,91
شهرک لشکر (شهرک غرب),5529.770949720671,179
نیروی هوایی,7280.995433789954,219
جاهد شهر,5308.331439393939,528
اقبال,7221.674418604651,172
استاد یوسفی (شهرک غرب),5262.379310344828,29
هفده شهریور,5458.823529411765,85
جانباز,4454.106382978724,235
شهید مطهری,3720.5269461077846,167
شفا,2849.095238095238,63
هنرور,3432.36,100
شهرآرا,4986.416,125
احمدآباد,16269.887218045113,133
هفت تیر (حافظ),8869.529702970298,202
چهارچشمه,6716.153846153846,91
پنجتن,2246.549019607843,51
صیاد شیرازی,6400.139013452915,223
موسوی قوچانی,3776.242105263158,95
کوثر,13098.300859598854,349
حضرت حجت,1871.050505050505,99
ارشاد,9499.977272727272,44
طبرسی شمالی,1680.1411764705883,170
سرافرازان,4184.590909090909,110
نرگس (شهرک غرب),4993.431034482759,58
میعاد (شهرک غرب),4956.133333333333,60
امام خمینی,7942.125,80
کارمندان دوم,4583.636363636364,11
هنرستان,11483.22619047619,420
دانش,8033.333333333333,9
شهید فرامرز عباسی,10434.96644295302,149
شهرک امام هادی (شهرک غرب),2123.684210526316,76
ملک‌آباد,22417.619047619046,42
گوهرشاد,8580.196078431372,51
وکیل‌آباد,10360.394366197183,71
فردوسی,9248.4,50
ابوذر,3991.0526315789475,19
فارغ التحصیلان,9702.260869565218,115
عامل,4361.9047619047615,21
تلگرد,2246.904761904762,21
سپاد,1854.7058823529412,17
شهید قربانی,1451.8709677419354,31
طلاب,3458.6103896103896,77
شریف,8093.0,85
فاطمیه,2762.7272727272725,33
ایثار,3945.277777777778,36
شهرک رازی (شهرک غرب),4213.267045454545,176
آبادگران,5355.263157894737,19
کوی المهدی,2821.688888888889,45
سعد آباد,6076.5625,64
گلشور,2375.5555555555557,27
بهشت,10851.2,25
پروین اعتصامی,5200.318181818182,22
عبادی,3632.294117647059,51
حجت,3431.6666666666665,24
هفت تیر (نه دره),3024.245283018868,53
شهید بصیر,1422.0,5
کوشش,7347.833333333333,42
رسالت,3640.0,16
حیدرآباد,2749.7272727272725,11
چاهشک,2907.777777777778,9
بلال,2211.0714285714284,14
شهرک مطهری,1735.0,8
شهرک بهارستان,2258.0597014925374,67
منزل آباد,2285.6666666666665,33
نوید,1844.5,50
گلبرگ,3044.340425531915,47
سمزقند,3485.2,25
فتح المبین,5314.736842105263,19
نکاح,3634.9056603773583,53
آیت الله خامنه‌ای,10494.444444444445,45
کوه سنگی,11927.741935483871,62
امامیه (شهرک غرب),3101.375,40
ولیعصر (شهرک غرب),4644.42,50
مشکینی (شهرک غرب),3064.896551724138,116
رده,1829.3529411764705,34
سلام,7996.538461538462,13
گاز,3090.731707317073,41
کوی سیدی,2635.777777777778,45
عیدگاه,5603.333333333333,24
مصلی (کارمندان اول),4818.0,5
عنصری,7698.125,16
پورسینا,2090.0,6
فلسطین,13701.463414634147,41
بهاران,4540.882352941177,34
انقلاب,2941.4594594594596,37
مهدی آباد (بلوار توس),1899.9333333333334,15
دوست آباد,2324.285714285714,7
رضاییه,2935.8333333333335,12
خواجه ربیع,2218.8571428571427,35
مقدم,5180.833333333333,24
سیس‌آباد,1804.5833333333333,12
جنت,5991.133333333333,15
زمرد,5497.692307692308,26
زمانه,8739.285714285714,14
وحید,2332.1428571428573,14
راهنمایی,10860.0,30
آبکوه,7308.571428571428,28
محمدآباد,2177.777777777778,9
شهید هاشمی نژاد,6624.705882352941,17
بالا خیابان,9882.222222222223,18
قائم,1650.0,10
نوده,1658.6363636363637,11
خاتم الانبیا,6575.555555555556,9
آیت الله کاشانی,5644.5,20
ده دی,7910.0,5
سراب,6840.0,7
چهنو,2813.125,16
یاغون آباد,1341.4285714285713,7
کارگران,3946.0,5
شهید بهشتی,6542.928571428572,56
ادیب نیشابوری (شهرک غرب),3850.4347826086955,23
هدایت,3007.9166666666665,24
کوی راد,5926.363636363636,11
راه آهن,5457.5,10
بهارستان,4735.555555555556,9
نوفل لوشاتو,7300.0,6
کوی پلیس,6866.666666666667,6
شهرک مهر آباد,2245.0,6
کریم آباد,1673.3333333333333,6
شهرک مهرگان,2553.5,8
رباط طرق,1227.7777777777778,9
علی آباد,1243.3333333333333,6
کوی دروی,1581.25,8
کشاورز,2064.285714285714,7
کلاته برفی,2418.0,5
پردیس,3114.285714285714,7
ویلاشهر,7393.166666666667,6
جوادیه,4533.333333333333,6
